RECLAMAÇÕES 2021 - JAN/AGO;;;;;
;;;;;
Data de entrada;Região;Razão Social;Área;Status da Reclamação;Proveniência
15/05/2021;CENTRO;UNIVERSO ONLINE S/A;Serviços Privados;CONCLUÍDA;Online
15/05/2021;NÃO INFORMADO;MAGOTE SERVICOS DE INTERMEDIACAO FINANCEIRA E PARTICIPACOES LTDA;Assuntos Financeiros;CONCLUÍDA;Online
16/05/2021;ZONA OESTE;FACI.LY SOLUCOES E TECNOLOGIA LTDA.;Produtos;CONCLUÍDA;Online
17/05/2021;ZONA SUL;BYTEDANCE BRASIL TECNOLOGIA LTDA.;Serviços Privados;CONCLUÍDA;Online
17/05/2021;ZONA LESTE;TV OMEGA LTDA.;Serviços Privados;CONCLUÍDA;Online
18/05/2021;ZONA SUL;VIA VAREJO S/A;Produtos;CONCLUÍDA;Online
18/05/2021;ZONA OESTE;BANCO C6 CONSIGNADO S.A.;Assuntos Financeiros;EM PROCESSAMENTO;Online
18/05/2021;ZONA SUL;ROBSON & MATHEUS COMERCIO DE VEICULOS LTDA;Produtos;CONCLUÍDA;Online
18/05/2021;NÃO INFORMADO;UBER DO BRASIL TECNOLOGIA LTDA.;Serviços Privados;CONCLUÍDA;Online
19/05/2021;FORA DA CIDADE DE SÃO PAULO;VIA VAREJO S/A;Produtos;CONCLUÍDA;Online
19/05/2021;FORA DA CIDADE DE SÃO PAULO;C&A MODAS S.A.;Produtos;CONCLUÍDA;Online
19/05/2021;NÃO INFORMADO;NU PAGAMENTOS S.A.;Assuntos Financeiros;CONCLUÍDA;Online
19/05/2021;ZONA SUL;WALLACE SOUSA SILVA ME;Serviços Privados;CONCLUÍDA;Online
